iter	Passed	Remaining
0	1	121
1	2	101
2	2	89
3	3	79
4	4	76
5	4	75
6	5	73
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	10	65
14	11	65
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	30	58
34	31	57
35	32	57
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	44	54
45	45	53
46	46	52
47	46	50
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	51	44
54	52	42
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	25
73	71	24
74	71	23
75	72	22
76	73	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	15
83	78	15
84	79	14
85	80	13
86	83	12
87	84	11
88	85	10
89	85	9
90	86	8
91	87	7
92	88	6
93	88	5
94	90	4
95	91	3
96	91	2
97	92	1
98	93	0
99	94	0
